codigo_departamento;codigo_municipio;nombre_departamento;nombre_municipio;departamento_guid
13;13030;BOLÍVAR;ALTOS DEL ROSARIO;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13042;BOLÍVAR;ARENAL;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13052;BOLÍVAR;ARJONA;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13062;BOLÍVAR;ARROYOHONDO;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13074;BOLÍVAR;BARRANCO DE LOBA;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13140;BOLÍVAR;CALAMAR;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13160;BOLÍVAR;CANTAGALLO;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13188;BOLÍVAR;CICUCO;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13212;BOLÍVAR;CÓRDOBA;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13222;BOLÍVAR;CLEMENCIA;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13244;BOLÍVAR;EL CARMEN DE BOLÍVAR;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13248;BOLÍVAR;EL GUAMO;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13268;BOLÍVAR;EL PEÑÓN;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13300;BOLÍVAR;HATILLO DE LOBA;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13430;BOLÍVAR;MAGANGUÉ;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13433;BOLÍVAR;MAHATES;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13440;BOLÍVAR;MARGARITA;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13442;BOLÍVAR;MARÍA LA BAJA;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13458;BOLÍVAR;MONTECRISTO;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13468;BOLÍVAR;SANTA CRUZ DE MOMPOX;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13473;BOLÍVAR;MORALES;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13490;BOLÍVAR;NOROSÍ;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13549;BOLÍVAR;PINILLOS;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13580;BOLÍVAR;REGIDOR;35c6840d-d6e5-4b6b-99d9-23da7ba74321
13;13600;BOLÍVAR;RÍO VIEJO;35c6840d-d6e5-4b6b-99d9-23da7ba74321
